## Supported OTG Parameter List:
Method	Type	Key
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.auto
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_checksum.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_checksum.generated
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.src.auto.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dst.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dst.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dst.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dst.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dst.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dst.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dst.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dst.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dst.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.version.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.version.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.version.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.version.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.version.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.version.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.version.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.version.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.version.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.traffic_class.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.traffic_class.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.traffic_class.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.traffic_class.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.traffic_class.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.traffic_class.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.traffic_class.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.traffic_class.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.traffic_class.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.flow_label.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.flow_label.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.flow_label.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.flow_label.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.flow_label.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv6.flow_label.increment.count
